,species,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex_female,sex_male,island_Biscoe,island_Dream,island_Torgersen
127,Adelie,37.5,18.5,199,4475,0,1,0,1,0
128,Adelie,38.1,17.6,187,3425,1,0,0,1,0
129,Adelie,41.1,17.5,190,3900,0,1,0,1,0
130,Adelie,35.6,17.5,191,3175,1,0,0,1,0
131,Adelie,40.2,20.1,200,3975,0,1,0,1,0
132,Adelie,37.0,16.5,185,3400,1,0,0,1,0
133,Adelie,39.7,17.9,193,4250,0,1,0,1,0
134,Adelie,40.2,17.1,193,3400,1,0,0,1,0
135,Adelie,40.6,17.2,187,3475,0,1,0,1,0
136,Adelie,32.1,15.5,188,3050,1,0,0,1,0
137,Adelie,40.7,17.0,190,3725,0,1,0,1,0
138,Adelie,37.3,16.8,192,3000,1,0,0,1,0
139,Adelie,39.0,18.7,185,3650,0,1,0,1,0
140,Adelie,39.2,18.6,190,4250,0,1,0,1,0
141,Adelie,36.6,18.4,184,3475,1,0,0,1,0
142,Adelie,36.0,17.8,195,3450,1,0,0,1,0
143,Adelie,37.8,18.1,193,3750,0,1,0,1,0
144,Adelie,36.0,17.1,187,3700,1,0,0,1,0
145,Adelie,41.5,18.5,201,4000,0,1,0,1,0
146,Gentoo,46.1,13.2,211,4500,1,0,1,0,0
147,Gentoo,50.0,16.3,230,5700,0,1,1,0,0
148,Gentoo,48.7,14.1,210,4450,1,0,1,0,0
149,Gentoo,50.0,15.2,218,5700,0,1,1,0,0
150,Gentoo,47.6,14.5,215,5400,0,1,1,0,0
151,Gentoo,46.5,13.5,210,4550,1,0,1,0,0
152,Gentoo,45.4,14.6,211,4800,1,0,1,0,0
153,Gentoo,46.7,15.3,219,5200,0,1,1,0,0
154,Gentoo,43.3,13.4,209,4400,1,0,1,0,0
155,Gentoo,46.8,15.4,215,5150,0,1,1,0,0
156,Gentoo,40.9,13.7,214,4650,1,0,1,0,0
157,Gentoo,49.0,16.1,216,5550,0,1,1,0,0
158,Gentoo,45.5,13.7,214,4650,1,0,1,0,0
159,Gentoo,48.4,14.6,213,5850,0,1,1,0,0
160,Gentoo,45.8,14.6,210,4200,1,0,1,0,0
161,Gentoo,49.3,15.7,217,5850,0,1,1,0,0
162,Gentoo,42.0,13.5,210,4150,1,0,1,0,0
163,Gentoo,49.2,15.2,221,6300,0,1,1,0,0
164,Gentoo,46.2,14.5,209,4800,1,0,1,0,0
165,Gentoo,48.7,15.1,222,5350,0,1,1,0,0
166,Gentoo,50.2,14.3,218,5700,0,1,1,0,0
167,Gentoo,45.1,14.5,215,5000,1,0,1,0,0
168,Gentoo,46.5,14.5,213,4400,1,0,1,0,0
169,Gentoo,46.3,15.8,215,5050,0,1,1,0,0
170,Gentoo,42.9,13.1,215,5000,1,0,1,0,0
171,Gentoo,46.1,15.1,215,5100,0,1,1,0,0
172,Gentoo,47.8,15.0,215,5650,0,1,1,0,0
173,Gentoo,48.2,14.3,210,4600,1,0,1,0,0
174,Gentoo,50.0,15.3,220,5550,0,1,1,0,0
175,Gentoo,47.3,15.3,222,5250,0,1,1,0,0
176,Gentoo,42.8,14.2,209,4700,1,0,1,0,0
177,Gentoo,45.1,14.5,207,5050,1,0,1,0,0
178,Gentoo,59.6,17.0,230,6050,0,1,1,0,0
179,Gentoo,49.1,14.8,220,5150,1,0,1,0,0
180,Gentoo,48.4,16.3,220,5400,0,1,1,0,0
181,Gentoo,42.6,13.7,213,4950,1,0,1,0,0
182,Gentoo,44.4,17.3,219,5250,0,1,1,0,0
183,Gentoo,44.0,13.6,208,4350,1,0,1,0,0
184,Gentoo,48.7,15.7,208,5350,0,1,1,0,0
185,Gentoo,42.7,13.7,208,3950,1,0,1,0,0
186,Gentoo,49.6,16.0,225,5700,0,1,1,0,0
187,Gentoo,45.3,13.7,210,4300,1,0,1,0,0
188,Gentoo,49.6,15.0,216,4750,0,1,1,0,0
189,Gentoo,50.5,15.9,222,5550,0,1,1,0,0
190,Gentoo,43.6,13.9,217,4900,1,0,1,0,0
191,Gentoo,45.5,13.9,210,4200,1,0,1,0,0
192,Gentoo,50.5,15.9,225,5400,0,1,1,0,0
193,Gentoo,44.9,13.3,213,5100,1,0,1,0,0
194,Gentoo,45.2,15.8,215,5300,0,1,1,0,0
195,Gentoo,46.6,14.2,210,4850,1,0,1,0,0
196,Gentoo,48.5,14.1,220,5300,0,1,1,0,0
197,Gentoo,45.1,14.4,210,4400,1,0,1,0,0
198,Gentoo,50.1,15.0,225,5000,0,1,1,0,0
199,Gentoo,46.5,14.4,217,4900,1,0,1,0,0
200,Gentoo,45.0,15.4,220,5050,0,1,1,0,0
201,Gentoo,43.8,13.9,208,4300,1,0,1,0,0
202,Gentoo,45.5,15.0,220,5000,0,1,1,0,0
203,Gentoo,43.2,14.5,208,4450,1,0,1,0,0
204,Gentoo,50.4,15.3,224,5550,0,1,1,0,0
205,Gentoo,45.3,13.8,208,4200,1,0,1,0,0
206,Gentoo,46.2,14.9,221,5300,0,1,1,0,0
207,Gentoo,45.7,13.9,214,4400,1,0,1,0,0
208,Gentoo,54.3,15.7,231,5650,0,1,1,0,0
209,Gentoo,45.8,14.2,219,4700,1,0,1,0,0
210,Gentoo,49.8,16.8,230,5700,0,1,1,0,0
211,Gentoo,49.5,16.2,229,5800,0,1,1,0,0
212,Gentoo,43.5,14.2,220,4700,1,0,1,0,0
213,Gentoo,50.7,15.0,223,5550,0,1,1,0,0
214,Gentoo,47.7,15.0,216,4750,1,0,1,0,0
215,Gentoo,46.4,15.6,221,5000,0,1,1,0,0
216,Gentoo,48.2,15.6,221,5100,0,1,1,0,0
217,Gentoo,46.5,14.8,217,5200,1,0,1,0,0
218,Gentoo,46.4,15.0,216,4700,1,0,1,0,0
219,Gentoo,48.6,16.0,230,5800,0,1,1,0,0
220,Gentoo,47.5,14.2,209,4600,1,0,1,0,0
221,Gentoo,51.1,16.3,220,6000,0,1,1,0,0
222,Gentoo,45.2,13.8,215,4750,1,0,1,0,0
223,Gentoo,45.2,16.4,223,5950,0,1,1,0,0
224,Gentoo,49.1,14.5,212,4625,1,0,1,0,0
225,Gentoo,52.5,15.6,221,5450,0,1,1,0,0
226,Gentoo,47.4,14.6,212,4725,1,0,1,0,0
227,Gentoo,50.0,15.9,224,5350,0,1,1,0,0
228,Gentoo,44.9,13.8,212,4750,1,0,1,0,0
229,Gentoo,50.8,17.3,228,5600,0,1,1,0,0
230,Gentoo,43.4,14.4,218,4600,1,0,1,0,0
231,Gentoo,51.3,14.2,218,5300,0,1,1,0,0
232,Gentoo,47.5,14.0,212,4875,1,0,1,0,0
233,Gentoo,52.1,17.0,230,5550,0,1,1,0,0
234,Gentoo,47.5,15.0,218,4950,1,0,1,0,0
235,Gentoo,52.2,17.1,228,5400,0,1,1,0,0
236,Gentoo,45.5,14.5,212,4750,1,0,1,0,0
237,Gentoo,49.5,16.1,224,5650,0,1,1,0,0
238,Gentoo,44.5,14.7,214,4850,1,0,1,0,0
239,Gentoo,50.8,15.7,226,5200,0,1,1,0,0
240,Gentoo,49.4,15.8,216,4925,0,1,1,0,0
241,Gentoo,46.9,14.6,222,4875,1,0,1,0,0
242,Gentoo,48.4,14.4,203,4625,1,0,1,0,0
243,Gentoo,51.1,16.5,225,5250,0,1,1,0,0
244,Gentoo,48.5,15.0,219,4850,1,0,1,0,0
245,Gentoo,55.9,17.0,228,5600,0,1,1,0,0
246,Gentoo,47.2,15.5,215,4975,1,0,1,0,0
247,Gentoo,49.1,15.0,228,5500,0,1,1,0,0
248,Gentoo,46.8,16.1,215,5500,0,1,1,0,0
249,Gentoo,41.7,14.7,210,4700,1,0,1,0,0
250,Gentoo,53.4,15.8,219,5500,0,1,1,0,0
251,Gentoo,43.3,14.0,208,4575,1,0,1,0,0
252,Gentoo,48.1,15.1,209,5500,0,1,1,0,0
253,Gentoo,50.5,15.2,216,5000,1,0,1,0,0
254,Gentoo,49.8,15.9,229,5950,0,1,1,0,0
255,Gentoo,43.5,15.2,213,4650,1,0,1,0,0
256,Gentoo,51.5,16.3,230,5500,0,1,1,0,0
257,Gentoo,46.2,14.1,217,4375,1,0,1,0,0
258,Gentoo,55.1,16.0,230,5850,0,1,1,0,0
259,Gentoo,48.8,16.2,222,6000,0,1,1,0,0
260,Gentoo,47.2,13.7,214,4925,1,0,1,0,0
261,Gentoo,46.8,14.3,215,4850,1,0,1,0,0
262,Gentoo,50.4,15.7,222,5750,0,1,1,0,0
263,Gentoo,45.2,14.8,212,5200,1,0,1,0,0
264,Gentoo,49.9,16.1,213,5400,0,1,1,0,0
265,Chinstrap,46.5,17.9,192,3500,1,0,0,1,0
266,Chinstrap,50.0,19.5,196,3900,0,1,0,1,0
267,Chinstrap,51.3,19.2,193,3650,0,1,0,1,0
268,Chinstrap,45.4,18.7,188,3525,1,0,0,1,0
269,Chinstrap,52.7,19.8,197,3725,0,1,0,1,0
270,Chinstrap,45.2,17.8,198,3950,1,0,0,1,0
271,Chinstrap,46.1,18.2,178,3250,1,0,0,1,0
272,Chinstrap,51.3,18.2,197,3750,0,1,0,1,0
273,Chinstrap,46.0,18.9,195,4150,1,0,0,1,0
274,Chinstrap,51.3,19.9,198,3700,0,1,0,1,0
275,Chinstrap,46.6,17.8,193,3800,1,0,0,1,0
276,Chinstrap,51.7,20.3,194,3775,0,1,0,1,0
277,Chinstrap,47.0,17.3,185,3700,1,0,0,1,0
278,Chinstrap,52.0,18.1,201,4050,0,1,0,1,0
279,Chinstrap,45.9,17.1,190,3575,1,0,0,1,0
280,Chinstrap,50.5,19.6,201,4050,0,1,0,1,0
281,Chinstrap,50.3,20.0,197,3300,0,1,0,1,0
282,Chinstrap,58.0,17.8,181,3700,1,0,0,1,0
283,Chinstrap,46.4,18.6,190,3450,1,0,0,1,0
284,Chinstrap,49.2,18.2,195,4400,0,1,0,1,0
285,Chinstrap,42.4,17.3,181,3600,1,0,0,1,0
286,Chinstrap,48.5,17.5,191,3400,0,1,0,1,0
287,Chinstrap,43.2,16.6,187,2900,1,0,0,1,0
288,Chinstrap,50.6,19.4,193,3800,0,1,0,1,0
289,Chinstrap,46.7,17.9,195,3300,1,0,0,1,0
290,Chinstrap,52.0,19.0,197,4150,0,1,0,1,0
291,Chinstrap,50.5,18.4,200,3400,1,0,0,1,0
292,Chinstrap,49.5,19.0,200,3800,0,1,0,1,0
293,Chinstrap,46.4,17.8,191,3700,1,0,0,1,0
294,Chinstrap,52.8,20.0,205,4550,0,1,0,1,0
295,Chinstrap,40.9,16.6,187,3200,1,0,0,1,0
296,Chinstrap,54.2,20.8,201,4300,0,1,0,1,0
297,Chinstrap,42.5,16.7,187,3350,1,0,0,1,0
298,Chinstrap,51.0,18.8,203,4100,0,1,0,1,0
299,Chinstrap,49.7,18.6,195,3600,0,1,0,1,0
300,Chinstrap,47.5,16.8,199,3900,1,0,0,1,0
301,Chinstrap,47.6,18.3,195,3850,1,0,0,1,0
302,Chinstrap,52.0,20.7,210,4800,0,1,0,1,0
303,Chinstrap,46.9,16.6,192,2700,1,0,0,1,0
304,Chinstrap,53.5,19.9,205,4500,0,1,0,1,0
305,Chinstrap,49.0,19.5,210,3950,0,1,0,1,0
306,Chinstrap,46.2,17.5,187,3650,1,0,0,1,0
307,Chinstrap,50.9,19.1,196,3550,0,1,0,1,0
308,Chinstrap,45.5,17.0,196,3500,1,0,0,1,0
309,Chinstrap,50.9,17.9,196,3675,1,0,0,1,0
310,Chinstrap,50.8,18.5,201,4450,0,1,0,1,0
311,Chinstrap,50.1,17.9,190,3400,1,0,0,1,0
312,Chinstrap,49.0,19.6,212,4300,0,1,0,1,0
313,Chinstrap,51.5,18.7,187,3250,0,1,0,1,0
314,Chinstrap,49.8,17.3,198,3675,1,0,0,1,0
315,Chinstrap,48.1,16.4,199,3325,1,0,0,1,0
316,Chinstrap,51.4,19.0,201,3950,0,1,0,1,0
317,Chinstrap,45.7,17.3,193,3600,1,0,0,1,0
318,Chinstrap,50.7,19.7,203,4050,0,1,0,1,0
319,Chinstrap,42.5,17.3,187,3350,1,0,0,1,0
320,Chinstrap,52.2,18.8,197,3450,0,1,0,1,0
321,Chinstrap,45.2,16.6,191,3250,1,0,0,1,0
322,Chinstrap,49.3,19.9,203,4050,0,1,0,1,0
323,Chinstrap,50.2,18.8,202,3800,0,1,0,1,0
324,Chinstrap,45.6,19.4,194,3525,1,0,0,1,0
325,Chinstrap,51.9,19.5,206,3950,0,1,0,1,0
326,Chinstrap,46.8,16.5,189,3650,1,0,0,1,0
327,Chinstrap,45.7,17.0,195,3650,1,0,0,1,0
328,Chinstrap,55.8,19.8,207,4000,0,1,0,1,0
329,Chinstrap,43.5,18.1,202,3400,1,0,0,1,0
330,Chinstrap,49.6,18.2,193,3775,0,1,0,1,0
331,Chinstrap,50.8,19.0,210,4100,0,1,0,1,0
332,Chinstrap,50.2,18.7,198,3775,1,0,0,1,0
